task_id,hostname,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,cpu_model
48,-,987666,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT,K562_R1,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (K562_R1),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1724267904671,1724267904720,1724267914484,9813,9000,-,118.3,0.0,7110656,164339712,7110656,231587840,1667445934,5457,99528,19,0,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
46,-,989522,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS,K562_R1,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (K562_R1),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1724267914488,1724267914584,1724267915133,645,0,-,100.0,0.0,3248128,5640192,3248128,5644288,2363617,5494,262,19,0,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
44,-,988830,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_INDEX,K562_R2,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_INDEX (K562_R2),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,2,14400000,-,12884901888,1,1724267911243,1724267911321,1724267915728,4485,4000,-,121.8,0.0,13099008,170569728,13099008,231587840,677527099,2038138,38798,515,0,2043904,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
43,-,988282,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_INDEX,A549_R2,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_INDEX (A549_R2),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,2,14400000,-,12884901888,1,1724267908999,1724267909095,1724267926394,17395,17000,-,120.5,0.0,18755584,176455680,18755584,231587840,2773550059,2626947,159868,659,685400064,2633728,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
52,-,991636,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS,A549_R1,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (A549_R1),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1724267926411,1724267926494,1724267927145,734,0,-,100.0,0.0,3219456,5640192,3219456,5644288,2453986,5504,263,19,0,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
45,-,990067,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_INDEX,K562_R3,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_INDEX (K562_R3),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,2,14400000,-,12884901888,1,1724267915733,1724267915828,1724267933744,18011,17000,-,122.7,0.1,20299776,177618944,20299776,231587840,2768755414,2740611,157382,686,0,2744320,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
57,-,993001,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS,A549_R3,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (A549_R3),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1724267933761,1724267933844,1724267934717,956,0,-,92.8,0.0,3174400,5640192,3174400,5644288,2203681,5489,259,19,0,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
58,-,993025,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT,A549_R3,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (A549_R3),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1724267933775,1724267933848,1724267944127,10352,9000,-,117.5,0.0,7053312,164605952,7053312,231587840,1261962586,5457,72476,19,0,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
63,-,995184,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS,K562_R2,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (K562_R2),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1724267944131,1724267944227,1724267944758,627,0,-,126.3,0.0,3248128,5640192,3248128,5644288,2148457,5482,259,19,0,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
51,-,991657,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT,A549_R1,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (A549_R1),COMPLETED,0,-,quay.io/biocontainers/samtools:1.16.1--h6899075_1,1,14400000,-,6442450944,1,1724267926420,1724267926498,1724267946654,20234,19000,-,120.0,0.0,7053312,164339712,7053312,231587840,2715065893,5458,162950,19,0,12288,Intel(R) Core(TM) i7-10700T CPU @ 2.00GHz
